location_id,name,latitude,longitude,location_type_id
47,"Cook Is.",-21.21927288,-159.7872422,3
48,Colombia,3.91383431,-73.08114582,3
49,Comoros,-11.87783444,43.68253968,3
50,"Cape Verde",15.95523324,-23.9598882,3
51,"Costa Rica",9.97634464,-84.19208768,3
52,Cuba,21.62289528,-79.01605384,3
53,"Cura̤ao",12.19551675,-68.97119369,3
54,"Cayman Is.",19.42896497,-80.91213321,3
55,"N. Cyprus",35.26277486,33.5684813,3
56,Cyprus,34.91667211,33.0060022,3
57,"Czech Rep.",49.73341233,15.31240163,3
58,Germany,51.10698181,10.38578051,3
59,Djibouti,11.74871806,42.5606754,3
60,Dominica,15.4394702,-61.357726,3
61,Denmark,55.98125296,10.02800992,3
62,"Dominican Rep.",18.89433082,-70.50568896,3
63,Algeria,28.15893849,2.61732301,3
64,Ecuador,-1.42381612,-78.75201922,3
65,Egypt,26.49593311,29.86190099,3
66,Eritrea,15.36186618,38.84617011,3
67,Spain,40.24448698,-3.64755047,3
68,Estonia,58.67192972,25.54248537,3
69,Ethiopia,8.62278679,39.60080098,3
70,Finland,64.49884603,26.2746656,3
71,Fiji,-17.42858032,165.4519543,3
72,"Falkland Is.",-51.74483954,-59.35238956,3
73,France,42.17344011,-2.76172945,3
74,"Faeroe Is.",62.05385403,-6.88095423,3
75,Micronesia,7.45246814,153.2394379,3
76,Gabon,-0.58660025,11.7886287,3
77,"United Kingdom",54.12387156,-2.86563164,3
78,Georgia,42.16855755,43.50780252,3
79,Guernsey,49.46809761,-2.57239064,3
80,Ghana,7.95345644,-1.21676566,3
81,Guinea,10.43621593,-10.94066612,3
82,Gambia,13.44965244,-15.39601295,3
83,Guinea-Bissau,12.04744948,-14.94972445,3
84,"Eq. Guinea",1.70555135,10.34137924,3
85,Greece,39.07469623,22.95555794,3
86,Grenada,12.11725044,-61.68220189,3
87,Greenland,74.71051289,-41.34191127,3
88,Guatemala,15.69403664,-90.36482009,3
89,Guam,13.44165626,144.7679102,3
90,Guyana,4.79378034,-58.98202459,3
91,"Hong Kong",22.39827737,114.1138045,3
92,"Heard I. and McDonald Is.",-53.08724656,73.5205171,3
93,Honduras,14.82688165,-86.6151661,3
94,Croatia,45.08047631,16.40412899,3
95,Haiti,18.93502563,-72.68527509,3
96,Hungary,47.16277506,19.39559116,3
97,Indonesia,-2.21505456,117.2401137,3
98,"Isle of Man",54.22418911,-4.53873952,3
99,India,22.88578212,79.6119761,3
100,"Indian Ocean Ter.",-10.6478515,104.851898,3
101,"Br. Indian Ocean Ter.",-7.33059751,72.44541229,3
102,Ireland,53.1754487,-8.13793569,3
103,Iran,32.57503292,54.27407004,3
104,Iraq,33.03970582,43.74353149,3
105,Iceland,64.99575386,-18.57396167,3
106,Israel,31.46110101,35.00444693,3
107,Italy,42.79662641,12.07001339,3
108,Jamaica,18.15694878,-77.31482593,3
109,Jersey,49.21837377,-2.12689938,3
110,Jordan,31.24579091,36.77136104,3
111,Japan,37.59230135,138.0308956,3
112,"Siachen Glacier",35.39236325,77.18011865,3
113,Kazakhstan,48.15688067,67.29149357,3
114,Kenya,0.59988022,37.79593973,3
115,Kyrgyzstan,41.46221943,74.54165513,3
116,Cambodia,12.72004786,104.9069433,3
117,Kiribati,0.86001503,-45.61110513,3
118,"St. Kitts and Nevis",17.2645995,-62.68755265,3
119,Korea,36.38523983,127.8391609,3
120,Kosovo,42.57078707,20.87249811,3
121,Kuwait,29.33431262,47.58700459,3
122,"Lao PDR",18.50217433,103.7377241,3
123,Lebanon,33.92306631,35.88016072,3
124,Liberia,6.45278492,-9.32207573,3
125,Libya,27.03094495,18.00866169,3
126,"Saint Lucia",13.89479481,-60.96969923,3
127,Liechtenstein,47.13665835,9.53574312,3
128,"Sri Lanka",7.61266509,80.70108238,3
129,Lesotho,-29.58003188,28.22723131,3
130,Lithuania,55.32610984,23.88719355,3
131,Luxembourg,49.76725361,6.07182201,3
132,Latvia,56.85085163,24.91235983,3
133,Macao,22.22311688,113.5093212,3
134,St-Martin,18.08888611,-63.05972851,3
135,Morocco,29.83762955,-8.45615795,3
136,Monaco,43.75274627,7.40627677,3
137,Moldova,47.19498804,28.45673372,3
138,Madagascar,-19.37189587,46.70473674,3
139,Maldives,3.7287092,73.45713004,3
140,Mexico,23.94753724,-102.5234517,3
141,"Marshall Is.",7.00376358,170.3397612,3
142,Macedonia,41.59530893,21.68211346,3
143,Mali,17.34581581,-3.54269065,3
144,Malta,35.92149632,14.40523316,3
145,Myanmar,21.18566599,96.48843321,3
146,Montenegro,42.78890259,19.23883939,3
147,Mongolia,46.82681544,103.0529977,3
148,"N. Mariana Is.",15.82927563,145.6196965,3
149,Mozambique,-17.27381643,35.53367543,3
150,Mauritania,20.25736706,-10.34779815,3
151,Montserrat,16.73941406,-62.18518546,3
152,Mauritius,-20.27768704,57.57120551,3
153,Malawi,-13.21808088,34.28935599,3
154,Malaysia,3.78986846,109.6976228,3
155,Namibia,-22.13032568,17.20963567,3
156,"New Caledonia",-21.29991806,165.6849237,3
157,Niger,17.41912493,9.38545882,3
158,"Norfolk Island",-29.0514609,167.9492168,3
159,Nigeria,9.59411452,8.08943895,3
160,Nicaragua,12.84709429,-85.0305297,3
161,Niue,-19.04945708,-169.8699468,3
162,Netherlands,52.1007899,5.28144793,3
163,Norway,68.75015572,15.34834656,3
164,Nepal,28.24891365,83.9158264,3
165,Nauru,-0.51912639,166.9325682,3
166,"New Zealand",-41.81113557,171.4849235,3
167,Oman,20.60515333,56.09166155,3
168,Pakistan,29.9497515,69.33957937,3
169,Panama,8.51750797,-80.11915156,3
170,"Pitcairn Is.",-24.36500535,-128.317042,3
171,Peru,-9.15280381,-74.38242685,3
172,Philippines,11.77536778,122.8839325,3
173,Palau,7.28742784,134.4080797,3
174,"Papua New Guinea",-6.46416646,145.2074475,3
175,Poland,52.12759564,19.39012835,3
176,"Puerto Rico",18.22813055,-66.47307604,3
177,"Dem. Rep. Korea",40.15350311,127.1924797,3
178,Portugal,39.59550671,-8.50104361,3
179,Paraguay,-23.22823913,-58.40013703,3
180,Palestine,31.91613893,35.19628705,3
181,"Fr. Polynesia",-14.72227409,-144.9049439,3
182,Qatar,25.30601188,51.18479632,3
183,Romania,45.85243127,24.97293039,3
184,Russia,61.98052209,96.68656112,3
185,Rwanda,-1.99033832,29.91988515,3
186,"W. Sahara",24.22956739,-12.21982755,3
187,"Saudi Arabia",24.12245841,44.53686271,3
188,Sudan,15.99035669,29.94046812,3
189,"S. Sudan",7.30877945,30.24790002,3
190,Senegal,14.36624173,-14.4734924,3
191,Singapore,1.35876087,103.8172559,3
192,"S. Geo. and S. Sandw. Is.",-54.46488248,-36.43318388,3
193,"Saint Helena",-12.40355951,-9.54779416,3
194,"Solomon Is.",-8.92178022,159.6328767,3
195,"Sierra Leone",8.56329593,-11.79271247,3
196,"El Salvador",13.73943744,-88.87164469,3
197,"San Marino",43.94186747,12.45922334,3
198,Somaliland,9.73345496,46.25198395,3
199,Somalia,4.75062876,45.70714487,3
200,"St. Pierre and Miquelon",46.91918789,-56.30319779,3
201,Serbia,44.2215032,20.78958334,3
202,"Ṣo Tom̩ and Principe",0.44391445,6.72429658,3
203,Suriname,4.13055413,-55.9123457,3
204,Slovakia,48.70547528,19.47905218,3
205,Slovenia,46.11554772,14.80444238,3
206,Sweden,62.77966519,16.74558049,3
207,Swaziland,-26.55843045,31.4819369,3
208,"Sint Maarten",18.05081728,-63.05713363,3
209,Seychelles,-4.66099094,55.47603279,3
210,Syria,35.02547389,38.50788204,3
211,"Turks and Caicos Is.",21.83047572,-71.97387881,3
212,Chad,15.33333758,18.64492513,3
213,Togo,8.52531356,0.96232845,3
214,Thailand,15.11815794,101.0028813,3
215,Tajikistan,38.5304539,71.01362631,3
216,Turkmenistan,39.11554137,59.37100021,3
217,Timor-Leste,-8.82889162,125.8443898,3
218,Tonga,-20.42843174,-174.8098734,3
219,"Trinidad and Tobago",10.45733408,-61.26567923,3
220,Tunisia,34.11956246,9.55288359,3
221,Turkey,39.0616029,35.16895346,3
222,Taiwan,23.7539928,120.9542728,3
223,Tanzania,-6.27565408,34.81309981,3
224,Uganda,1.27469299,32.36907971,3
225,Ukraine,48.99656673,31.38326469,3
226,Uruguay,-32.79951534,-56.01807053,3
227,"United States",45.6795472,-112.4616737,3
